Month,Sex,Deaths
2023-03-01,Female,2805.0
2023-03-01,Male,6916.0
2023-04-01,Female,2786.0
2023-04-01,Male,6631.0
2023-05-01,Female,2816.0
2023-05-01,Male,6858.0
2023-06-01,Female,2598.0
2023-06-01,Male,6466.0
2023-07-01,Female,2672.0
2023-07-01,Male,6879.0
2023-08-01,Female,2698.0
2023-08-01,Male,6652.0
2023-09-01,Female,2341.0
2023-09-01,Male,5870.0
2023-10-01,Female,2407.0
2023-10-01,Male,5792.0
2023-11-01,Female,2345.0
2023-11-01,Male,5453.0
2023-12-01,Female,2446.0
2023-12-01,Male,5584.0
