Month,State,Deaths
2011-01-01,Alaska,10.0
2011-01-01,Arizona,84.0
2011-01-01,Arkansas,41.0
2011-01-01,California,413.0
2011-01-01,Colorado,72.0
2011-01-01,Connecticut,41.0
2011-01-01,Delaware,16.0
2011-01-01,District of Columbia,11.5
2011-01-01,Florida,262.0
2011-01-01,Georgia,96.0
2011-01-01,Hawaii,17.0
2011-01-01,Idaho,13.0
2011-01-01,Illinois,106.0
2011-01-01,Indiana,83.0
2011-01-01,Iowa,27.0
2011-01-01,Kansas,29.0
2011-01-01,Kentucky,94.0
2011-01-01,Louisiana,62.0
2011-01-01,Maine,16.0
2011-01-01,Maryland,77.0
2011-01-01,Massachusetts,70.0
2011-01-01,Michigan,106.0
2011-01-01,Minnesota,53.0
2011-01-01,Mississippi,33.0
2011-01-01,Missouri,68.0
2011-01-01,Montana,14.0
2011-01-01,Nebraska,16.0
2011-01-01,Nevada,59.0
2011-01-01,New Hampshire,23.0
2011-01-01,New Jersey,96.0
2011-01-01,New Mexico,60.0
2011-01-01,New York,192.0
2011-01-01,North Carolina,105.0
2011-01-01,North Dakota,0.0
2011-01-01,Ohio,165.0
2011-01-01,Oklahoma,70.0
2011-01-01,Oregon,44.0
2011-01-01,Pennsylvania,183.0
2011-01-01,Rhode Island,14.0
2011-01-01,South Carolina,45.0
2011-01-01,South Dakota,1.4285714285714284
2011-01-01,Tennessee,112.0
2011-01-01,Texas,255.0
2011-01-01,Utah,52.0
2011-01-01,Vermont,12.461538461538462
2011-01-01,Virginia,60.0
2011-01-01,Washington,101.0
2011-01-01,West Virginia,48.0
2011-01-01,Wisconsin,54.0
2011-01-01,Wyoming,11.0
2011-02-01,Alabama,55.0
2011-02-01,Alaska,11.0
2011-02-01,Arizona,110.0
2011-02-01,Arkansas,39.0
2011-02-01,California,349.0
2011-02-01,Colorado,82.0
2011-02-01,Connecticut,33.0
2011-02-01,Delaware,16.0
2011-02-01,District of Columbia,12.0
2011-02-01,Florida,267.0
2011-02-01,Georgia,97.0
2011-02-01,Hawaii,14.0
2011-02-01,Idaho,13.0
2011-02-01,Illinois,118.0
2011-02-01,Indiana,81.0
2011-02-01,Iowa,27.0
2011-02-01,Kansas,29.0
2011-02-01,Kentucky,113.0
2011-02-01,Louisiana,53.0
2011-02-01,Maine,14.0
2011-02-01,Maryland,63.0
2011-02-01,Massachusetts,82.0
2011-02-01,Michigan,134.0
2011-02-01,Minnesota,49.0
2011-02-01,Mississippi,23.0
2011-02-01,Missouri,82.0
2011-02-01,Montana,15.0
2011-02-01,Nebraska,16.0
2011-02-01,Nevada,47.0
2011-02-01,New Hampshire,13.0
2011-02-01,New Jersey,83.0
2011-02-01,New Mexico,48.0
2011-02-01,New York,158.0
2011-02-01,North Carolina,117.0
2011-02-01,North Dakota,0.0
2011-02-01,Ohio,177.0
2011-02-01,Oklahoma,68.0
2011-02-01,Oregon,44.0
2011-02-01,Pennsylvania,189.0
2011-02-01,Rhode Island,20.0
2011-02-01,South Carolina,52.0
2011-02-01,South Dakota,1.5873015873015872
2011-02-01,Tennessee,90.0
2011-02-01,Texas,231.0
2011-02-01,Utah,48.0
